Event Name,Date,Location,Focus,Cost,Speakers,More Info URL,Register URL,Expected Attendees,Best For,Attendee Profile
Events & Activities,"Fri, Nov 28","Rm.401 Cattleya Condominium 235 Salcedo St., Legaspi Village Makati City, 1229",,,,,https://www.cmaphil.com/events/money-laundering-and-terrorist-financing-prevention-program,,,
Events & Activities,"Fri, Nov 28","Rm.401 Cattleya Condominium 235 Salcedo St., Legaspi Village Makati City, 1229",,,,,https://www.cmaphil.com/events/money-laundering-and-terrorist-financing-prevention-program,,,
Events & Activities,"Fri, Nov 28","Rm.401 Cattleya Condominium 235 Salcedo St., Legaspi Village Makati City, 1229",,,,,https://www.cmaphil.com/events/money-laundering-and-terrorist-financing-prevention-program,,,
Events & Activities,"Fri, Nov 28","Rm.401 Cattleya Condominium 235 Salcedo St., Legaspi Village Makati City, 1229",,,,,https://www.cmaphil.com/events/money-laundering-and-terrorist-financing-prevention-program,,,
Upcoming Events & Activities,"Fri, Nov 28",Via Zoom,,,,,https://www.cmaphil.com/events/money-laundering-and-terrorist-financing-prevention-program,,,
Upcoming Events & Activities,"Fri, Nov 28",Via Zoom,,,,,https://www.cmaphil.com/events/money-laundering-and-terrorist-financing-prevention-program,,,
Upcoming Events & Activities,"Fri, Nov 28",Via Zoom,,,,,https://www.cmaphil.com/events/money-laundering-and-terrorist-financing-prevention-program,,,
Upcoming Events & Activities,"Fri, Nov 28",Via Zoom,,,,,https://www.cmaphil.com/events/money-laundering-and-terrorist-financing-prevention-program,,,
Upcoming Events & Activities,"Fri, Nov 28",Via Zoom,,,,,https://www.cmaphil.com/events/money-laundering-and-terrorist-financing-prevention-program,,,
Upcoming Events & Activities,"Fri, Nov 28",Via Zoom,,,,,https://www.cmaphil.com/events/money-laundering-and-terrorist-financing-prevention-program,,,
Upcoming Events & Activities,"Fri, Nov 28",Via Zoom,,,,,https://www.cmaphil.com/events/money-laundering-and-terrorist-financing-prevention-program,,,
Upcoming Events & Activities,"Fri, Nov 28",Via Zoom,,,,,https://www.cmaphil.com/events/money-laundering-and-terrorist-financing-prevention-program,,,
Upcoming Events & Activities,"Fri, Nov 28",Via Zoom,,,,,https://www.cmaphil.com/events/money-laundering-and-terrorist-financing-prevention-program,,,
BP 22 FOR NON LAWYERS,"Fri, Nov 28",Via Zoom,,,,,https://www.cmaphil.com/events/money-laundering-and-terrorist-financing-prevention-program,,,
BP 22 FOR NON LAWYERS,"Fri, Nov 28",Via Zoom,,,,,https://www.cmaphil.com/events/money-laundering-and-terrorist-financing-prevention-program,,,
BP 22 FOR NON LAWYERS,"Fri, Nov 28",Via Zoom,,,,,https://www.cmaphil.com/events/money-laundering-and-terrorist-financing-prevention-program,,,
BP 22 FOR NON LAWYERS,"Fri, Nov 28",Via Zoom,,,,,https://www.cmaphil.com/events/money-laundering-and-terrorist-financing-prevention-program,,,
BP 22 FOR NON LAWYERS,"Fri, Nov 28",Via Zoom,,,,,https://www.cmaphil.com/events/money-laundering-and-terrorist-financing-prevention-program,,,
BP 22 FOR NON LAWYERS,"Fri, Nov 28",Via Zoom,,,,,https://www.cmaphil.com/events/money-laundering-and-terrorist-financing-prevention-program,,,
BP 22 FOR NON LAWYERS,"Thu, Jul 24",City Garden Hotel Makati,,,,,https://www.cmaphil.com/events/bp-22-for-non-lawyers,,,
BP 22 FOR NON LAWYERS,"Thu, Jul 24",City Garden Hotel Makati,,,,,https://www.cmaphil.com/events/bp-22-for-non-lawyers,,,
POLICY DEVELOPMENT,"Thu, Aug 07",City Garden Hotel Makati,,,,,https://www.cmaphil.com/events/policy-development,,,
POLICY DEVELOPMENT,"Thu, Aug 07",City Garden Hotel Makati,,,,,https://www.cmaphil.com/events/policy-development,,,
COLLECT SMARTER - NEGOTIATION STRATEGIES FOR DEBT RECOVERY,"Thu, Aug 14",City Garden Hotel Makati,,,,,https://www.cmaphil.com/events/collect-smarter-negotiation-strategies-for-debt-recovery,,,
COLLECT SMARTER - NEGOTIATION STRATEGIES FOR DEBT RECOVERY,"Thu, Aug 14",City Garden Hotel Makati,,,,,https://www.cmaphil.com/events/collect-smarter-negotiation-strategies-for-debt-recovery,,,
Financial Statement Analysis and Interpretation,"Thu, Sep 11",City Garden Hotel Makati,,,,,https://www.cmaphil.com/events/financial-statement-analysis-and-interpretation,,,
Financial Statement Analysis and Interpretation,"Thu, Sep 11",City Garden Hotel Makati,,,,,https://www.cmaphil.com/events/financial-statement-analysis-and-interpretation,,,
CREDIT MANAGEMENT,"Thu, Sep 25",,,,,,https://www.cmaphil.com/events/credit-management,,,
CREDIT MANAGEMENT,"Thu, Sep 25",,,,,,https://www.cmaphil.com/events/credit-management,,,
Know your Money & Counterfeit Detection,"Fri, Sep 26",Via Zoom,,,,,https://www.cmaphil.com/events/know-your-money-counterfeit-detection,,,
Know your Money & Counterfeit Detection,"Fri, Sep 26",Via Zoom,,,,,https://www.cmaphil.com/events/know-your-money-counterfeit-detection,,,
Financial Management,"Thu, Oct 09",City Garden Hotel Makati,,,,,https://www.cmaphil.com/events/financial-management,,,
Financial Management,"Thu, Oct 09",City Garden Hotel Makati,,,,,https://www.cmaphil.com/events/financial-management,,,
Root Cause Analysis,"Thu, Nov 13",City Garden Hotel Makati,,,,,https://www.cmaphil.com/events/root-cause-analysis,,,
Root Cause Analysis,"Thu, Nov 13",City Garden Hotel Makati,,,,,https://www.cmaphil.com/events/root-cause-analysis,,,
Money Laundering and Terrorist Financing Prevention Program,"Fri, Nov 28",Via Zoom,,,,,https://www.cmaphil.com/events/money-laundering-and-terrorist-financing-prevention-program,,,
Money Laundering and Terrorist Financing Prevention Program,"Fri, Nov 28",Via Zoom,,,,,https://www.cmaphil.com/events/money-laundering-and-terrorist-financing-prevention-program,,,
